N;L;R;Q
120;3,95;396;6,24
100;2,69;267;6,32
90;2,14;202;6,66
80;1,64;165;6,24
70;1,25;117;6,72
60;0,917;83,9;6,86
55;0,767;69,15;6,96
50;0,627;58,32;6,75
45;0,508;47,65;6,7
40;0,399;38,3;6,55
120;3,85;424;5,71
100;2,63;286;5,77
90;2,09;218;6,03
80;1,68;152;6,93
70;1,23;126,9;6,1
60;0,897;91,6;6,15
55;0,751;75,13;6,28
50;0,614;63,5;6,07
45;0,498;51,6;6,06
40;0,392;41,08;3,8
